category,description,full_price,name_of_item,number_of_reviews,rating,sale_price,type_color_available,url
New arrival,ORA Recovery 3 Slides,$60.00,HOKA,1716,4.1,,"Ceramic/ceramic, White/white, Passion fruit/passion fruit, Pink yarrow/pink yarrow, Cyclamen/coastal sky, Ice water/airy blue, Dusk/dusk, Vibrant orange/vibrant orange, Cloudless/cerise, Beet root/beet root, Vanilla/vanilla, Tech green/tech green, Stellar blue/mirage, Papaya/papaya, Citrus glow/citrus glow, Diva blue/diva blue, Raspberry/raspberry, Sherbet/sherbet, Lime glow/lime glow, Violet bloom/violet bloom, Grey/grey, Coastal sky/all aboard, Black/black, Expand color swatches",/product/217238/hoka-ora-recovery-3-slides
New arrival,Cairn Evo 3D Sandals,$125.00,Bedrock Sandals,7,4.4,,"Black, Slate blue, Moss, Dusty lilac, Expand color swatches",/product/231068/bedrock-sandals-cairn-evo-3d-sandals
New arrival,Stretch Voyagr Jacket - Women's,$179.00,KUHL,,,,"Black, Pacific coast, Wisteria, Agave green, Expand color swatches",/product/229616/kuhl-stretch-voyagr-jacket-womens
New arrival,Anacapa Breeze Low Hiking Shoes - Women's,$155.00,HOKA,83,3.9,,"Outer space/harbor mist, Oxford tan/peach whip, Illusion/slate",/product/208578/hoka-anacapa-breeze-low-hiking-shoes-womens
New arrival,Mirage iTrek 9 Ultralight Inflatable Pedal Kayak,"$2,599.00",Hobie,,,,,/product/233887/hobie-mirage-itrek-9-ultralight-inflatable-pedal-kayak
New arrival,Adrenaline GTS 23 Road-Running Shoes - Women's,$140.00,Brooks,751,4.3,,"Black/white/silver, White/oyster/silver, Blue/open air/pink, Crystal grey/villa/white, Black/cream/biscuit, Black/black/ebony, Grey/black/purple, White sand/sunset/fuchsia, Expand color swatches",/product/223255/brooks-adrenaline-gts-23-road-running-shoes-womens
Top Rated,Newport H2 Sandals - Kids',$60.00,KEEN,645,4.7, $29.83,"Camo/pink icing, Steel grey/black, Naval academy/keen yellow, Aventurine/evening primrose, Very berry/fusion coral, Legion blue/hot pink, Blue depths/gargoyle, Rainbow tie dye, Safety orange/fjord blue, Magnet/brillant blue, Ribbon red/gargoyle, Expand color swatches",/product/113809/keen-newport-h2-sandals-kids
New arrival,Glycerin StealthFit 21 Road-Running Shoes - Women's,$160.00,Brooks,74,4.5,,"White/grey/black, Pink/marshmallow/orchid, Persimmon/charlock/spectrum, Raindrops/purple sage, Black/cream/biscuit, Expand color swatches",/product/229604/brooks-glycerin-stealthfit-21-road-running-shoes-womens
Top Rated,Cloudswift 3 Shoes - Women's,$160.00,On,20,4.7,,"White/blueberry, White/frost, Fade/black, All black, Metal/white, Expand color swatches",/product/216407/on-cloudswift-3-shoes-womens
New arrival,Confluence Apex 1 Electric Bike,"$2,999.00",Salsa,,,,,/product/227440/salsa-confluence-apex-1-electric-bike
